index_name,거래일,시가,고가,저가,종가,거래량,거래대금,market
코스닥,20180528,865.58,879.80,865.57,879.69,1244380212,5743898578840,KOSDAQ
코스피,20180529,2476.70,2479.68,2457.18,2457.25,571720799,8532359028276,KOSPI
코스닥,20180529,881.53,884.64,868.81,870.08,1110668300,7686841627664,KOSDAQ
코스피,20180530,2446.81,2449.88,2399.58,2409.03,575780445,8998817955081,KOSPI
코스닥,20180530,876.42,876.71,861.84,874.22,1097115571,7221680368989,KOSDAQ
코스피,20180531,2428.83,2430.15,2415.50,2423.01,816785336,13251479583121,KOSPI
코스닥,20180531,880.97,880.97,873.16,879.66,1069933610,7085714940859,KOSDAQ
코스피,20180601,2419.63,2445.31,2418.11,2438.96,602870349,8766788558132,KOSPI
코스닥,20180601,879.61,883.77,878.15,883.22,1001585365,6061488640650,KOSDAQ
코스피,20180604,2444.62,2452.67,2441.25,2447.76,438870849,7770436118773,KOSPI
코스닥,20180604,887.59,887.76,876.50,877.44,858688033,5532250874035,KOSDAQ
코스피,20180605,2450.39,2455.78,2432.81,2453.76,501286620,7344456601396,KOSPI
코스닥,20180605,881.71,881.98,874.16,877.16,999535283,5533423665295,KOSDAQ
코스피,20180607,2468.26,2478.67,2466.01,2470.58,473992954,8060010621834,KOSPI
코스닥,20180607,881.47,887.95,880.01,887.91,887913302,5526152881948,KOSDAQ
코스피,20180608,2467.88,2468.27,2449.11,2451.58,530066311,7672290830523,KOSPI
코스닥,20180608,887.37,887.52,877.91,878.48,824922065,4988850895128,KOSDAQ
코스피,20180611,2454.25,2470.99,2448.00,2470.15,427726246,7024542900287,KOSPI
코스닥,20180611,879.06,881.12,874.84,876.55,761907110,4616961612785,KOSDAQ
코스피,20180612,2474.78,2479.56,2462.84,2468.83,613111995,9614956021494,KOSPI
코스닥,20180612,879.18,882.92,870.11,875.04,1068853671,5645556531362,KOSDAQ
코스피,20180614,2450.86,2451.95,2422.37,2423.48,533119457,9752886162433,KOSPI
코스닥,20180614,873.02,873.02,861.14,864.56,999793048,6062508214191,KOSDAQ
코스피,20180615,2432.18,2433.51,2403.97,2404.04,502175426,9089090445901,KOSPI
코스닥,20180615,866.77,869.77,863.42,866.22,787149480,5489201857403,KOSDAQ
코스피,20180618,2404.68,2405.56,2365.31,2376.24,564631926,8592722113962,KOSPI
코스닥,20180618,866.44,866.86,833.22,840.23,769539884,5217521582305,KOSDAQ
코스피,20180619,2373.12,2379.49,2336.54,2340.11,606097749,7993783914566,KOSPI
코스닥,20180619,841.09,846.62,815.37,815.39,759721595,5172615540744,KOSDAQ
코스피,20180620,2350.24,2374.52,2345.22,2363.91,455815232,6986158044232,KOSPI
코스닥,20180620,819.87,840.17,817.64,840.17,746990486,4758938431462,KOSDAQ
코스피,20180621,2364.16,2370.58,2337.83,2337.83,437974203,6783521427805,KOSPI
코스닥,20180621,841.44,841.91,826.22,826.22,744414446,4225790904680,KOSDAQ
코스피,20180622,2323.08,2357.40,2320.76,2357.22,537125838,6603764779945,KOSPI
코스닥,20180622,826.01,830.68,815.43,830.27,816440017,4369415901035,KOSDAQ
코스피,20180625,2351.89,2361.39,2337.22,2357.88,414989548,5683521765411,KOSPI
코스닥,20180625,831.48,836.99,826.66,836.00,657961815,3527445649215,KOSDAQ
코스피,20180626,2334.75,2358.01,2326.61,2350.92,470876507,6536132565654,KOSPI
코스닥,20180626,825.05,832.32,817.16,831.40,634221534,3708796871461,KOSDAQ
코스피,20180627,2349.38,2358.71,2342.02,2342.03,526576993,7007140824738,KOSPI
코스닥,20180627,832.72,839.61,826.69,826.69,686945024,4171129610015,KOSDAQ
코스피,20180628,2327.37,2335.35,2310.80,2314.24,414325110,5775216849999,KOSPI
코스닥,20180628,823.16,827.01,810.18,810.20,813040019,3557199012792,KOSDAQ
코스피,20180629,2325.68,2329.58,2296.39,2326.13,396557590,6309320878467,KOSPI
코스닥,20180629,817.20,819.05,802.00,818.22,634075262,3468501131866,KOSDAQ
코스피,20180702,2322.23,2327.59,2271.53,2271.54,393165443,5989646998774,KOSPI
코스닥,20180702,818.75,819.94,789.80,789.82,667702914,3472270033205,KOSDAQ
코스피,20180703,2285.88,2287.39,2252.36,2272.76,365977605,6001903045599,KOSPI
코스닥,20180703,797.63,801.91,779.41,795.71,706156875,3766825152877,KOSDAQ
코스피,20180704,2270.95,2280.81,2261.34,2265.46,315034840,4880747138616,KOSPI
코스닥,20180704,795.06,802.92,792.44,799.10,686728858,3075417827907,KOSDAQ
코스피,20180705,2264.74,2274.74,2243.90,2257.55,346844156,5166425307805,KOSPI
코스닥,20180705,799.77,800.93,782.23,794.05,641106155,3104384881433,KOSDAQ
코스피,20180706,2261.44,2283.75,2247.35,2272.87,344382872,6358170949997,KOSPI
코스닥,20180706,795.23,809.96,785.22,808.89,698766559,3419759541852,KOSDAQ
코스피,20180709,2276.92,2294.61,2267.25,2285.80,352585216,5796154289360,KOSPI
코스닥,20180709,806.85,813.10,803.25,808.28,512517989,2880565952140,KOSDAQ
코스피,20180710,2299.09,2305.84,2292.13,2294.16,339877478,5038651944992,KOSPI
코스닥,20180710,814.56,815.90,811.46,813.19,512348174,2901004935226,KOSDAQ
코스피,20180711,2277.22,2287.08,2262.77,2280.62,422960158,5700835055944,KOSPI
코스닥,20180711,810.18,811.56,803.88,804.78,518188901,3050081775290,KOSDAQ
코스피,20180712,2285.93,2298.56,2277.73,2285.06,364348669,6157443512735,KOSPI
코스닥,20180712,809.86,819.98,806.16,819.29,513714514,3290881413768,KOSDAQ
코스피,20180713,2293.07,2313.80,2293.07,2310.90,291502625,6500486105538,KOSPI
코스닥,20180713,820.59,827.89,820.43,827.89,497104496,3065734974044,KOSDAQ
코스피,20180716,2312.26,2317.84,2299.79,2301.99,297080452,4968787830948,KOSPI
코스닥,20180716,830.91,831.41,822.91,825.71,544636583,2920557175539,KOSDAQ
코스피,20180717,2302.95,2306.07,2290.24,2297.92,378975062,4897671117237,KOSPI
코스닥,20180717,826.67,827.31,818.55,819.72,649282331,3387669590994,KOSDAQ
코스피,20180718,2313.78,2319.39,2287.10,2290.11,402736462,5032112711076,KOSPI
코스닥,20180718,823.80,826.36,804.47,810.44,719929008,3979090859765,KOSDAQ
코스피,20180719,2298.91,2300.18,2278.94,2282.29,464442419,5430880286033,KOSPI
코스닥,20180719,811.42,811.97,794.14,796.49,672679196,3894852638113,KOSDAQ
코스피,20180720,2281.36,2293.34,2269.55,2289.19,353147970,4910348024302,KOSPI
코스닥,20180720,796.27,801.02,785.39,791.61,618893581,3377749377354,KOSDAQ
코스피,20180723,2289.61,2289.61,2264.42,2269.31,334169779,5549025683995,KOSPI
코스닥,20180723,792.90,792.99,756.95,756.96,562534118,3555447502510,KOSDAQ
코스피,20180724,2273.15,2284.43,2263.13,2280.20,436014179,5831478666846,KOSPI
코스닥,20180724,760.57,767.71,756.63,761.57,523853800,3317550324196,KOSDAQ
코스피,20180725,2284.38,2292.61,2269.67,2273.03,309204184,6142196447777,KOSPI
코스닥,20180725,764.66,766.00,744.11,748.89,657003216,4437900924670,KOSDAQ
코스피,20180726,2284.51,2297.16,2276.54,2289.06,303200428,6356601346266,KOSPI
코스닥,20180726,755.07,765.16,750.86,765.15,509918716,3447296243337,KOSDAQ
코스피,20180727,2292.33,2295.27,2284.44,2294.99,262011307,5091076677254,KOSPI
코스닥,20180727,766.03,773.98,763.44,773.98,522237513,3148104852517,KOSDAQ
코스피,20180730,2290.18,2296.91,2283.29,2293.51,206372327,4551835180004,KOSPI
코스닥,20180730,773.00,774.82,763.60,769.80,524362089,2919869931035,KOSDAQ
코스피,20180731,2292.23,2296.60,2286.02,2295.26,223833573,4878064866738,KOSPI
코스닥,20180731,768.75,775.52,766.52,775.52,600534863,3427529036909,KOSDAQ
코스피,20180801,2301.17,2312.65,2301.13,2307.07,218940664,4832488838041,KOSPI
코스닥,20180801,779.00,790.38,778.55,790.25,561613681,3446437070302,KOSDAQ
코스피,20180802,2304.14,2306.72,2265.46,2270.20,351952423,5042387659394,KOSPI
코스닥,20180802,788.77,788.88,776.38,781.38,532348385,3253146522243,KOSDAQ
코스피,20180803,2278.33,2288.93,2272.94,2287.68,270439980,4312348133337,KOSPI
코스닥,20180803,786.10,788.82,784.33,788.81,531629097,2876797185495,KOSDAQ
코스피,20180806,2288.51,2300.38,2283.26,2286.50,244528080,4607266948216,KOSPI
코스닥,20180806,789.26,790.82,780.97,781.41,487414325,2906264287524,KOSDAQ
코스피,20180807,2290.85,2301.27,2279.55,2300.16,230320994,4748483328432,KOSPI
코스닥,20180807,783.45,784.88,775.50,784.70,517912085,3101794940809,KOSDAQ
코스피,20180808,2305.73,2308.60,2298.41,2301.45,299647822,5517959112594,KOSPI
코스닥,20180808,787.21,789.76,781.27,783.81,650735341,3618396665742,KOSDAQ
코스피,20180809,2303.04,2303.71,2291.91,2303.71,244862575,5985778394688,KOSPI
코스닥,20180809,783.43,789.68,780.95,789.48,589586182,3605517689712,KOSDAQ
코스피,20180810,2295.21,2295.62,2277.89,2282.79,286126671,6186069024340,KOSPI
코스닥,20180810,789.71,792.44,781.34,784.81,604641631,3944654944986,KOSDAQ
코스피,20180813,2266.43,2271.82,2238.55,2248.45,335313299,5949794564744,KOSPI
코스닥,20180813,780.69,780.69,755.58,755.65,607450459,3892729778914,KOSDAQ
코스피,20180814,2249.86,2262.52,2247.37,2258.91,255150384,4871783985406,KOSPI
코스닥,20180814,758.33,766.26,756.01,761.94,529612438,3264987874922,KOSDAQ
코스피,20180816,2233.05,2244.08,2218.09,2240.80,312489415,6021534221536,KOSPI
코스닥,20180816,752.04,761.57,743.68,761.18,564294978,3718358151015,KOSDAQ
코스피,20180817,2244.61,2250.92,2240.14,2247.05,238359443,4645214119288,KOSPI
코스닥,20180817,766.29,773.37,765.03,772.30,574075977,3454450370770,KOSDAQ
코스피,20180820,2257.35,2264.42,2245.06,2247.88,271576086,4418882905900,KOSPI
코스닥,20180820,775.81,778.26,769.21,769.78,464811713,3194480884954,KOSDAQ
코스피,20180821,2248.04,2272.86,2244.59,2270.06,294318453,5182881332346,KOSPI
코스닥,20180821,773.12,788.92,772.59,787.15,507881511,3440546179264,KOSDAQ
코스피,20180822,2273.68,2280.31,2268.91,2273.33,269255586,5424960112181,KOSPI
코스닥,20180822,790.88,792.70,785.83,785.95,585462615,3411697769917,KOSDAQ
코스피,20180823,2282.57,2282.88,2268.06,2282.60,338363180,5238201120220,KOSPI
