company_name,stock_code,corp_code,bsns_year,report_name,reprt_code,fs_div,api_status,api_message,account_row_count,collected
HD현대일렉트릭,267260,01205851,2024,분기보고서_3분기,11014,OFS,000,정상,128,True
HD현대일렉트릭,267260,01205851,2024,사업보고서,11011,CFS,000,정상,232,True
HD현대일렉트릭,267260,01205851,2024,사업보고서,11011,OFS,000,정상,161,True
HD현대일렉트릭,267260,01205851,2025,반기보고서,11012,CFS,000,정상,148,True
HD현대일렉트릭,267260,01205851,2025,반기보고서,11012,OFS,000,정상,135,True
HD현대일렉트릭,267260,01205851,2025,분기보고서_1분기,11013,CFS,000,정상,138,True
HD현대일렉트릭,267260,01205851,2025,분기보고서_1분기,11013,OFS,000,정상,126,True
HD현대일렉트릭,267260,01205851,2025,분기보고서_3분기,11014,CFS,000,정상,151,True
HD현대일렉트릭,267260,01205851,2025,분기보고서_3분기,11014,OFS,000,정상,135,True
HD현대일렉트릭,267260,01205851,2025,사업보고서,11011,CFS,000,정상,249,True
HD현대일렉트릭,267260,01205851,2025,사업보고서,11011,OFS,000,정상,162,True
HLB,028300,00199252,2017,반기보고서,11012,CFS,000,정상,196,True
HLB,028300,00199252,2017,반기보고서,11012,OFS,000,정상,126,True
HLB,028300,00199252,2017,분기보고서_1분기,11013,CFS,000,정상,240,True
HLB,028300,00199252,2017,분기보고서_1분기,11013,OFS,000,정상,156,True
HLB,028300,00199252,2017,분기보고서_3분기,11014,CFS,000,정상,206,True
HLB,028300,00199252,2017,분기보고서_3분기,11014,OFS,000,정상,139,True
HLB,028300,00199252,2017,사업보고서,11011,CFS,000,정상,239,True
HLB,028300,00199252,2017,사업보고서,11011,OFS,000,정상,157,True
HLB,028300,00199252,2018,반기보고서,11012,CFS,000,정상,257,True
HLB,028300,00199252,2018,반기보고서,11012,OFS,000,정상,174,True
HLB,028300,00199252,2018,분기보고서_1분기,11013,CFS,000,정상,221,True
HLB,028300,00199252,2018,분기보고서_1분기,11013,OFS,000,정상,147,True
HLB,028300,00199252,2018,분기보고서_3분기,11014,CFS,000,정상,258,True
HLB,028300,00199252,2018,분기보고서_3분기,11014,OFS,000,정상,171,True
HLB,028300,00199252,2018,사업보고서,11011,CFS,000,정상,301,True
HLB,028300,00199252,2018,사업보고서,11011,OFS,000,정상,195,True
HLB,028300,00199252,2019,반기보고서,11012,CFS,000,정상,246,True
HLB,028300,00199252,2019,반기보고서,11012,OFS,000,정상,165,True
